Name Country Russia China US France Poland Canada Ukraine Germany Japan
Berezhnaya/Sikharulidze Russia 1 1 2 1 1 2 1 2 2
Sele/Pelletier Canada 2 2 1 2 2 1 2 1 1
Shen/Zhao China 3 3 3 3 3 3 3 3 3
Totmianina/Marinin Russia 4 5 5 4 4 7 4 5 4
Ina/Zimmerman US 6 4 4 5 5 4 5 4 5
Petrova/Tikhonov Russia 5 7 7 6 6 5 6 6 7
Zagorska/Siudek Poland 7 6 6 7 7 6 7 7 6
Berankova/Diabola Czech 9 8 8 9 8 8 8 8 8
Pang/Tong China 8 9 9 8 10 10 9 9 9
Lariviere/Faustino Canada 10 10 12 10 9 9 10 11 12
Langlois/Archetto Canada 12 11 10 11 11 11 11 10 11
Zhang/Zhang China 11 13 13 12 12 12 12 12 13
Scott/Dulebohn US 13 12 11 13 14 13 15 13 10
Savchenko/Morozov Ukraine 14 15 14 14 13 14 14 14 15
Kautz/Jeschke Germany 15 14 15 15 15 15 13 15 14
Chuvaeva/Palamarchuk Ukraine 16 16 16 16 16 16 16 16 16 
Bestnadigova/Bestandif Slovakia 18 17 17 17 17 18 17 18 17
Ponomareva/SWviridov Uzbekistan 17 18 18 18 18 17 19 17 19
Cobisi/DePra Italy 19 19 19 19 19 19 18 19 18
Krasitseva/Znachkov Armenia 20 20 20 20 20 20 20 20 20
